origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-10-23,ILI incidence,2024-10-20,1,AT,median,,3177.61978631112
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.01,2612.99891112554
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.025,2699.33641401697
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.05,2775.25596128329
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.1,2862.92927746033
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.15,2919.60042618416
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.2,2968.34716989982
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.25,3011.45467133878
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.3,3049.11767396455
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.35,3083.58080229207
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.4,3117.34075045434
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.45,3148.51863506244
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.5,3178.32844696058
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.55,3208.06977480432
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.6,3240.07613678561
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.65,3274.26913962113
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.7,3306.80430943866
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.75,3342.03972429945
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.8,3383.94564861457
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.85,3430.40608628717
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.9,3489.57977421671
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.95,3579.00994587541
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.975,3658.45022953671
2024-10-23,ILI incidence,2024-10-20,1,AT,quantile,0.99,3757.6703718512
2024-10-23,ILI incidence,2024-10-27,2,AT,median,,3142.72161159344
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.01,2341.89978707467
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.025,2458.81791229746
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.05,2574.24720136742
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.1,2697.81150808231
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.15,2783.83123196525
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.2,2852.85570109802
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.25,2910.9115924851
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.3,2965.61750154275
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.35,3016.21092417852
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.4,3060.81492203483
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.45,3102.10527263245
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.5,3147.49355022207
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.55,3190.38286591541
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.6,3234.45195368279
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.65,3278.75910502737
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.7,3328.28458799852
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.75,3378.22677714223
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.8,3436.09779734678
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.85,3505.93750690362
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.9,3587.24299019305
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.95,3717.25032983395
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.975,3820.1527134908
2024-10-23,ILI incidence,2024-10-27,2,AT,quantile,0.99,3958.62289596652
2024-10-23,ILI incidence,2024-11-03,3,AT,median,,3111.31461751091
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.01,2146.163734155
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.025,2291.82473384235
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.05,2415.88115906929
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.1,2574.16686264472
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.15,2679.97481479464
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.2,2769.51538359762
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.25,2842.20706356873
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.3,2904.77541966775
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.35,2960.69207128375
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.4,3014.13943869665
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.45,3067.66111083523
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.5,3118.78270770606
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.55,3169.85999423359
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.6,3225.74556897624
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.65,3282.35424705615
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.7,3339.46870833282
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.75,3396.92411197169
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.8,3466.12194692396
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.85,3540.74734352283
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.9,3636.12250845035
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.95,3790.50240379058
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.975,3927.540149477
2024-10-23,ILI incidence,2024-11-03,3,AT,quantile,0.99,4094.07836062253
2024-10-23,ILI incidence,2024-11-10,4,AT,median,,3080.87656418409
2024-10-23,ILI incidence,2024-11-10,4,AT,quantile,0.01,1988.34498034448
2024-10-23,ILI incidence,2024-11-10,4,AT,quantile,0.025,2140.4693263195
2024-10-23,ILI incidence,2024-11-10,4,AT,quantile,0.05,2306.07016803572
2024-10-23,ILI incidence,2024-11-10,4,AT,quantile,0.1,2474.69635552016
2024-10-23,ILI incidence,2024-11-10,4,AT,quantile,0.15,2592.01738050959
2024-10-23,ILI incidence,2024-11-10,4,AT,quantile,0.2,2685.20390732247
2024-10-23,ILI incidence,2024-11-10,4,AT,quantile,0.25,2762.14834478058
2024-10-23,ILI incidence,2024-11-10,4,AT,quantile,0.3,2837.15828511281
2024-10-23,ILI incidence,2024-11-10,4,AT,quantile,0.35,2899.81236549901
2024-10-23,ILI incidence,2024-11-10,4,AT,quantile,0.4,2966.72726821436
2024-10-23,ILI incidence,2024-11-10,4,AT,quantile,0.45,3029.47201662637
2024-10-23,ILI incidence,2024-11-10,4,AT,quantile,0.5,3092.48505275809
2024-10-23,ILI incidence,2024-11-10,4,AT,quantile,0.55,3149.38494990727
2024-10-23,ILI incidence,2024-11-10,4,AT,quantile,0.6,3210.59318837833
2024-10-23,ILI incidence,2024-11-10,4,AT,quantile,0.65,3272.37401458912
