origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-11-06,ILI incidence,2024-11-03,1,CH,quantile,0.3,38.43153629031698
2024-11-06,ILI incidence,2024-11-03,1,CH,quantile,0.025,28.00908205653637
2024-11-06,ILI incidence,2024-11-03,1,CH,quantile,0.2,35.72178088152369
2024-11-06,ILI incidence,2024-11-03,1,CH,quantile,0.01,26.2228208484576
2024-11-06,ILI incidence,2024-11-03,1,CH,quantile,0.25,37.09281141922647
2024-11-06,ILI incidence,2024-11-24,4,CH,quantile,0.99,57.750457902569586
2024-11-06,ILI incidence,2024-11-03,1,CH,quantile,0.05,29.904466067965053
2024-11-06,ILI incidence,2024-11-10,2,CH,quantile,0.85,47.167974401172806
2024-11-06,ILI incidence,2024-11-10,2,CH,quantile,0.95,49.82311701149976
2024-11-06,ILI incidence,2024-11-03,1,CH,quantile,0.35,39.622886683647536
2024-11-06,ILI incidence,2024-11-10,2,CH,quantile,0.9,48.288190672213645
2024-11-06,ILI incidence,2024-11-10,2,CH,quantile,0.975,51.41190352731565
2024-11-06,ILI incidence,2024-11-24,4,CH,quantile,0.975,55.3475448901642
2024-11-06,ILI incidence,2024-11-03,1,CH,quantile,0.15,34.25318917383701
2024-11-06,ILI incidence,2024-11-03,1,CH,quantile,0.1,32.50423771673669
2024-11-06,ILI incidence,2024-11-03,1,CH,quantile,0.99,71.50411849090506
2024-11-06,ILI incidence,2024-11-10,2,CH,quantile,0.8,46.305596677412865
2024-11-06,ILI incidence,2024-11-10,2,CH,quantile,0.99,53.1796873640709
2024-11-06,ILI incidence,2024-11-10,2,CH,quantile,0.75,45.60074541401424
2024-11-06,ILI incidence,2024-11-24,4,CH,quantile,0.95,53.63601680997811
2024-11-06,ILI incidence,2024-11-10,2,CH,quantile,0.6,43.817339601948824
2024-11-06,ILI incidence,2024-11-10,2,CH,quantile,0.25,40.29375133567484
2024-11-06,ILI incidence,2024-11-24,4,CH,quantile,0.85,49.7093533282475
2024-11-06,ILI incidence,2024-11-10,2,CH,quantile,0.3,40.853698334041255
2024-11-06,ILI incidence,2024-11-10,2,CH,quantile,0.35,41.34198491926561
2024-11-06,ILI incidence,2024-11-10,2,CH,quantile,0.65,44.36233862437881
2024-11-06,ILI incidence,2024-11-24,4,CH,quantile,0.7,46.836127643756015
2024-11-06,ILI incidence,2024-11-24,4,CH,quantile,0.8,48.565164510829774
2024-11-06,ILI incidence,2024-11-17,3,CH,quantile,0.15,41.10202711431867
2024-11-06,ILI incidence,2024-11-24,4,CH,quantile,0.9,51.228549028304506
2024-11-06,ILI incidence,2024-11-24,4,CH,quantile,0.65,46.05547989887137
2024-11-06,ILI incidence,2024-11-10,2,CH,quantile,0.55,43.31137180433204
2024-11-06,ILI incidence,2024-11-10,2,CH,quantile,0.7,44.9056227804723
2024-11-06,ILI incidence,2024-11-17,3,CH,quantile,0.1,39.14517630338045
2024-11-06,ILI incidence,2024-11-24,4,CH,quantile,0.55,44.63617949683709
2024-11-06,ILI incidence,2024-11-17,3,CH,quantile,0.01,31.72812132535651
2024-11-06,ILI incidence,2024-11-17,3,CH,quantile,0.05,36.526750027078606
2024-11-06,ILI incidence,2024-11-17,3,CH,quantile,0.9,65.82655050650862
2024-11-06,ILI incidence,2024-11-17,3,CH,quantile,0.99,82.75251154127876
2024-11-06,ILI incidence,2024-11-24,4,CH,quantile,0.6,45.35428576814608
2024-11-06,ILI incidence,2024-11-17,3,CH,quantile,0.95,71.17199138582546
2024-11-06,ILI incidence,2024-11-17,3,CH,quantile,0.25,44.36120534572088
2024-11-06,ILI incidence,2024-11-17,3,CH,quantile,0.5,50.97548898604992
2024-11-06,ILI incidence,2024-11-24,4,CH,quantile,0.5,43.95584389067757
2024-11-06,ILI incidence,2024-11-17,3,CH,quantile,0.7,56.63146623482454
2024-11-06,ILI incidence,2024-11-17,3,CH,quantile,0.8,60.402595456862706
2024-11-06,ILI incidence,2024-11-17,3,CH,quantile,0.85,62.793051668777615
2024-11-06,ILI incidence,2024-11-24,4,CH,quantile,0.75,47.613084144017186
2024-11-06,ILI incidence,2024-11-10,2,CH,quantile,0.15,39.00893457880625
2024-11-06,ILI incidence,2024-11-10,2,CH,quantile,0.2,39.70343552211831
2024-11-06,ILI incidence,2024-11-17,3,CH,quantile,0.2,42.83564433595053
2024-11-06,ILI incidence,2024-11-17,3,CH,quantile,0.975,76.12068160220788
2024-11-06,ILI incidence,2024-11-03,1,CH,quantile,0.4,40.74941860589644
2024-11-06,ILI incidence,2024-11-17,3,CH,quantile,0.45,49.63430755526136
2024-11-06,ILI incidence,2024-11-17,3,CH,quantile,0.55,52.312944786038614
2024-11-06,ILI incidence,2024-11-10,2,CH,quantile,0.5,42.803798246973
2024-11-06,ILI incidence,2024-11-17,3,CH,quantile,0.025,34.275125387626865
2024-11-06,ILI incidence,2024-11-17,3,CH,quantile,0.35,47.122104816154504
2024-11-06,ILI incidence,2024-11-24,4,CH,quantile,0.3,41.37297327599093
2024-11-06,ILI incidence,2024-11-03,1,CH,quantile,0.45,41.92932555925778
2024-11-06,ILI incidence,2024-11-03,1,CH,quantile,0.5,43.117727003971325
2024-11-06,ILI incidence,2024-11-03,1,CH,quantile,0.975,66.13013758074443
2024-11-06,ILI incidence,2024-11-17,3,CH,quantile,0.4,48.35103624031302
2024-11-06,ILI incidence,2024-11-17,3,CH,quantile,0.6,53.65404031192939
2024-11-06,ILI incidence,2024-11-24,4,CH,quantile,0.4,42.66001832075033
2024-11-06,ILI incidence,2024-11-17,3,CH,quantile,0.75,58.32209513809597
2024-11-06,ILI incidence,2024-11-10,2,CH,quantile,0.4,41.860594627089654
