origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.01,1709.6026221897391
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.01,1581.074906355144
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.01,1529.658291416324
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.01,1516.1341995956054
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.01,1509.771845244314
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.01,1505.635528048537
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.025,1778.0920586749617
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.025,1607.456112537052
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.025,1547.5985937045648
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.025,1523.4796245220543
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.025,1515.241384162063
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.025,1513.371144621426
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.05,1828.247688749604
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.05,1640.8588820765226
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.05,1571.663075451963
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.05,1541.261634611544
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.05,1532.7577935346449
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.05,1528.711743603189
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.1,1896.351520835356
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.1,1684.1531818712508
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.1,1608.0861988241766
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.1,1578.9959922204491
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.1,1568.1467901423014
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.1,1564.9165181994106
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.15,1941.2115143187937
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.15,1720.1033530260931
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.15,1630.6271322620282
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.15,1600.7645199189249
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.15,1591.9343562997617
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.15,1590.1335813583555
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.2,1983.836355457008
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.2,1749.9981807245058
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.2,1658.4424305040434
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.2,1629.6808374786588
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.2,1623.2874888260872
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.2,1620.0333876064128
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.25,2016.5647831518052
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.25,1776.495506453036
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.25,1690.6402612751124
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.25,1661.357362675382
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.25,1655.132971205075
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.25,1653.4808246423977
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.3,2048.971275456013
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.3,1802.7221233226103
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.3,1717.6355034059568
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.3,1688.5852684425188
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.3,1680.7983314074932
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.3,1678.224733102491
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.35,2082.2987602011867
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.35,1829.32147450764
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.35,1742.5374922910717
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.35,1712.357777361991
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.35,1703.968282779784
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.35,1702.1065571363752
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.4,2109.064285452864
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.4,1859.9616494568024
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.4,1768.1264053546383
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.4,1739.28411023923
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.4,1730.8566600983318
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.4,1727.0420512459166
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.45,2132.808413305034
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.45,1882.9583032529076
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.45,1791.6621753444092
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.45,1766.846687494624
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.45,1757.620592451419
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.45,1756.4049276534663
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.5,2160.0911632237303
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.5,1904.9394072021648
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.5,1816.8358331748195
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.5,1798.0273538293204
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.5,1790.1412600720046
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.5,1787.444813220548
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.55,2185.093866335573
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.55,1924.2811323932765
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.55,1841.752085011343
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.55,1820.844538311694
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.55,1813.159219385284
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.55,1810.7554480418205
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.6,2205.1680100922126
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.6,1945.456042120437
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.6,1864.076638603358
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.6,1845.111986659697
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.6,1839.116114108764
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.6,1837.584722413737
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.65,2224.5354559315806
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.65,1961.9941952394108
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.65,1890.292563663664
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.65,1866.895550241652
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.65,1857.7363783535293
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.65,1855.6440825215373
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.7,2249.1768033947706
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.7,1981.0349658062937
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.7,1909.4837525130165
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.7,1886.88254314544
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.7,1880.4504257200288
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.7,1879.2086291915011
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.75,2273.071287798555
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.75,1997.128928381824
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.75,1927.9354714788224
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.75,1908.9428238116277
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.75,1902.1975398471548
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.75,1900.0801100275232
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.8,2295.60739210697
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.8,2014.397896078996
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.8,1949.2212013695437
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.8,1927.9669422173213
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.8,1923.936471504264
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.8,1923.342576974145
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.85,2323.7624566903546
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.85,2037.7958677645684
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.85,1967.6890928882704
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.85,1950.5239615042008
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.85,1946.1749886185305
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.85,1944.1470673450776
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.9,2354.563436206417
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.9,2063.1989179207108
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.9,1988.8504477725328
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.9,1968.4640065456688
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.9,1963.504483406875
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.9,1962.3034827080955
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.95,2393.46783069297
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.95,2086.63336664822
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.95,2007.060168343418
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.95,1986.8353258428424
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.95,1981.4517693858995
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.95,1980.057974013452
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.975,2435.221125733146
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.975,2108.407894807932
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.975,2016.365324003691
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.975,1996.3333852018177
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.975,1992.781714291648
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.975,1992.278841056718
2024-11-13,ILI incidence,2024-10-27,-1,AT,quantile,0.99,2465.6718444148705
2024-11-13,ILI incidence,2024-11-03,0,AT,quantile,0.99,2127.994283091895
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.99,2026.1996282044413
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.99,2002.912505705965
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.99,1998.3809779489025
2024-11-13,ILI incidence,2024-12-01,4,AT,quantile,0.99,1997.1637960211008
2024-11-13,ILI incidence,2024-10-27,-1,AT,median,,2160.0911632237303
2024-11-13,ILI incidence,2024-11-03,0,AT,median,,1904.9394072021648
2024-11-13,ILI incidence,2024-11-10,1,AT,median,,1816.8358331748195
2024-11-13,ILI incidence,2024-11-17,2,AT,median,,1798.0273538293204
2024-11-13,ILI incidence,2024-11-24,3,AT,median,,1790.1412600720046
2024-11-13,ILI incidence,2024-12-01,4,AT,median,,1787.444813220548
2024-11-13,ILI incidence,2024-10-27,-1,BE,quantile,0.01,73.31302297942192
2024-11-13,ILI incidence,2024-11-03,0,BE,quantile,0.01,59.69544175446893
2024-11-13,ILI incidence,2024-11-10,1,BE,quantile,0.01,54.34365789895201
2024-11-13,ILI incidence,2024-11-17,2,BE,quantile,0.01,52.02850571952173
2024-11-13,ILI incidence,2024-11-24,3,BE,quantile,0.01,51.14326818993178
2024-11-13,ILI incidence,2024-12-01,4,BE,quantile,0.01,50.71870414872685
2024-11-13,ILI incidence,2024-10-27,-1,BE,quantile,0.025,78.946674930788
2024-11-13,ILI incidence,2024-11-03,0,BE,quantile,0.025,63.75083385353877
2024-11-13,ILI incidence,2024-11-10,1,BE,quantile,0.025,56.3312563133445
2024-11-13,ILI incidence,2024-11-17,2,BE,quantile,0.025,53.29599585796568
2024-11-13,ILI incidence,2024-11-24,3,BE,quantile,0.025,52.1691607291305
2024-11-13,ILI incidence,2024-12-01,4,BE,quantile,0.025,51.56172543365405
2024-11-13,ILI incidence,2024-10-27,-1,BE,quantile,0.05,86.98376087400591
2024-11-13,ILI incidence,2024-11-03,0,BE,quantile,0.05,68.41067567751159
2024-11-13,ILI incidence,2024-11-10,1,BE,quantile,0.05,59.36006759122144
2024-11-13,ILI incidence,2024-11-17,2,BE,quantile,0.05,55.71208986603187
2024-11-13,ILI incidence,2024-11-24,3,BE,quantile,0.05,53.92367478129606
2024-11-13,ILI incidence,2024-12-01,4,BE,quantile,0.05,53.29675309428327
2024-11-13,ILI incidence,2024-10-27,-1,BE,quantile,0.1,96.09214563946036
2024-11-13,ILI incidence,2024-11-03,0,BE,quantile,0.1,72.96928761828507
2024-11-13,ILI incidence,2024-11-10,1,BE,quantile,0.1,62.7512144752585
2024-11-13,ILI incidence,2024-11-17,2,BE,quantile,0.1,58.571456637798526
2024-11-13,ILI incidence,2024-11-24,3,BE,quantile,0.1,56.15428699052814
2024-11-13,ILI incidence,2024-12-01,4,BE,quantile,0.1,55.449011053641975
2024-11-13,ILI incidence,2024-10-27,-1,BE,quantile,0.15,103.40685201593524
2024-11-13,ILI incidence,2024-11-03,0,BE,quantile,0.15,77.42943348573583
2024-11-13,ILI incidence,2024-11-10,1,BE,quantile,0.15,65.80918925157812
2024-11-13,ILI incidence,2024-11-17,2,BE,quantile,0.15,60.8773834120632
2024-11-13,ILI incidence,2024-11-24,3,BE,quantile,0.15,58.51631948647676
2024-11-13,ILI incidence,2024-12-01,4,BE,quantile,0.15,57.86488525877581
2024-11-13,ILI incidence,2024-10-27,-1,BE,quantile,0.2,108.13566476693714
2024-11-13,ILI incidence,2024-11-03,0,BE,quantile,0.2,80.47508413020347
2024-11-13,ILI incidence,2024-11-10,1,BE,quantile,0.2,68.50426463247724
2024-11-13,ILI incidence,2024-11-17,2,BE,quantile,0.2,63.36044338076577
2024-11-13,ILI incidence,2024-11-24,3,BE,quantile,0.2,61.18992622549297
2024-11-13,ILI incidence,2024-12-01,4,BE,quantile,0.2,60.34215952025975
2024-11-13,ILI incidence,2024-10-27,-1,BE,quantile,0.25,113.65480372737406
2024-11-13,ILI incidence,2024-11-03,0,BE,quantile,0.25,83.57338178212677
2024-11-13,ILI incidence,2024-11-10,1,BE,quantile,0.25,70.86341132842932
2024-11-13,ILI incidence,2024-11-17,2,BE,quantile,0.25,65.18125453379825
2024-11-13,ILI incidence,2024-11-24,3,BE,quantile,0.25,63.01093602525447
2024-11-13,ILI incidence,2024-12-01,4,BE,quantile,0.25,62.112549942300745
2024-11-13,ILI incidence,2024-10-27,-1,BE,quantile,0.3,118.02420301828994
2024-11-13,ILI incidence,2024-11-03,0,BE,quantile,0.3,87.30206065989508
2024-11-13,ILI incidence,2024-11-10,1,BE,quantile,0.3,73.07008102190034
2024-11-13,ILI incidence,2024-11-17,2,BE,quantile,0.3,67.66550663987685
2024-11-13,ILI incidence,2024-11-24,3,BE,quantile,0.3,64.99617051322481
2024-11-13,ILI incidence,2024-12-01,4,BE,quantile,0.3,63.888449884159776
2024-11-13,ILI incidence,2024-10-27,-1,BE,quantile,0.35,123.07312457027167
2024-11-13,ILI incidence,2024-11-03,0,BE,quantile,0.35,90.19414243457535
2024-11-13,ILI incidence,2024-11-10,1,BE,quantile,0.35,75.68354915391707
2024-11-13,ILI incidence,2024-11-17,2,BE,quantile,0.35,69.80680357523438
2024-11-13,ILI incidence,2024-11-24,3,BE,quantile,0.35,67.33566268270035
2024-11-13,ILI incidence,2024-12-01,4,BE,quantile,0.35,66.61988134180474
2024-11-13,ILI incidence,2024-10-27,-1,BE,quantile,0.4,128.05889831963364
2024-11-13,ILI incidence,2024-11-03,0,BE,quantile,0.4,92.93129348491452
2024-11-13,ILI incidence,2024-11-10,1,BE,quantile,0.4,78.01423414400102
2024-11-13,ILI incidence,2024-11-17,2,BE,quantile,0.4,71.7372890247583
2024-11-13,ILI incidence,2024-11-24,3,BE,quantile,0.4,69.4158468061832
2024-11-13,ILI incidence,2024-12-01,4,BE,quantile,0.4,68.55034662442026
2024-11-13,ILI incidence,2024-10-27,-1,BE,quantile,0.45,131.11816799177578
2024-11-13,ILI incidence,2024-11-03,0,BE,quantile,0.45,95.60261897811476
