origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.01,1474.20
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.01,978.12
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.01,589.08
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.01,337.06
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.025,1480.49
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.025,982.18
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.025,593.60
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.025,339.54
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.05,1486.54
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.05,989.06
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.05,598.58
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.05,342.47
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.1,1503.15
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.1,1000.27
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.1,604.76
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.1,346.68
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.15,1513.70
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.15,1009.83
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.15,610.60
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.15,350.78
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.2,1520.74
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.2,1017.16
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.2,616.71
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.2,354.24
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.25,1527.95
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.25,1030.43
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.25,626.64
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.25,359.58
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.3,1534.45
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.3,1116.47
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.3,718.74
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.3,438.19
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.35,1540.78
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.35,1129.62
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.35,730.24
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.35,445.67
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.4,1549.64
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.4,1136.06
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.4,737.28
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.4,449.90
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.45,1584.17
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.45,1141.29
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.45,772.69
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.45,488.73
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.5,1596.40
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.5,1146.63
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.5,782.82
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.5,499.80
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.55,1604.44
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.55,1155.19
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.55,788.25
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.55,504.79
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.6,1614.94
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.6,1175.76
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.6,794.10
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.6,509.50
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.65,1626.29
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.65,1192.52
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.65,798.73
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.65,514.61
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.7,1639.84
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.7,1204.49
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.7,804.91
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.7,521.40
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.75,1649.33
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.75,1249.30
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.75,869.10
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.75,568.53
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.8,1665.04
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.8,1267.90
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.8,880.65
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.8,578.20
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.85,1676.01
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.85,1279.67
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.85,892.58
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.85,586.37
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.9,2022.33
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.9,1758.46
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.9,1397.59
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.9,1044.34
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.95,2042.40
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.95,1783.12
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.95,1427.13
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.95,1067.93
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.975,2053.91
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.975,1793.01
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.975,1435.20
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.975,1076.10
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.99,2059.00
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.99,1801.00
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.99,1444.30
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.99,1079.60
2024-11-27,ILI incidence,2024-11-10,1,AT,median,,1596.40
2024-11-27,ILI incidence,2024-11-17,2,AT,median,,1146.63
2024-11-27,ILI incidence,2024-11-24,3,AT,median,,782.82
2024-11-27,ILI incidence,2024-12-01,4,AT,median,,499.80
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.01,123.40
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.01,149.64
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.01,188.50
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.01,245.41
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.025,124.60
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.025,152.40
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.025,196.60
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.025,257.99
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.05,126.00
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.05,154.59
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.05,201.80
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.05,269.75
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.1,128.09
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.1,158.00
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.1,206.30
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.1,281.78
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.15,130.20
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.15,161.89
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.15,212.08
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.15,290.57
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.2,132.99
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.2,166.70
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.2,220.00
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.2,300.58
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.25,136.27
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.25,175.19
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.25,233.46
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.25,317.64
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.3,140.09
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.3,183.64
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.3,249.91
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.3,347.59
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.35,146.27
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.35,201.27
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.35,284.85
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.35,409.22
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.4,150.28
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.4,213.60
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.4,313.70
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.4,450.82
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.45,152.28
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.45,219.27
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.45,326.19
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.45,491.11
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.5,154.18
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.5,224.99
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.5,341.00
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.5,521.32
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.55,156.62
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.55,231.61
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.55,352.47
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.55,545.76
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.6,158.40
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.6,237.88
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.6,369.48
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.6,571.78
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.65,159.52
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.65,242.36
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.65,378.80
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.65,596.40
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.7,160.45
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.7,245.93
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.7,390.95
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.7,627.70
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.75,161.40
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.75,248.68
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.75,398.98
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.75,654.31
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.8,162.27
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.8,251.32
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.8,408.86
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.8,678.87
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.85,163.10
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.85,254.08
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.85,416.69
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.85,701.08
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.9,164.10
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.9,257.54
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.9,424.00
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.9,717.50
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.95,165.28
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.95,260.29
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.95,431.60
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.95,733.30
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.975,166.45
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.975,262.24
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.975,436.89
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.975,750.32
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.99,168.21
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.99,267.60
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.99,443.54
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.99,762.91
2024-11-27,ILI incidence,2024-11-10,1,BE,median,,154.18
2024-11-27,ILI incidence,2024-11-17,2,BE,median,,224.99
2024-11-27,ILI incidence,2024-11-24,3,BE,median,,341.00
2024-11-27,ILI incidence,2024-12-01,4,BE,median,,521.32
2024-11-27,ILI incidence,2024-11-24,1,CH,quantile,0.01,58.52
2024-11-27,ILI incidence,2024-12-01,2,CH,quantile,0.01,66.03
2024-11-27,ILI incidence,2024-12-08,3,CH,quantile,0.01,76.11
2024-11-27,ILI incidence,2024-12-15,4,CH,quantile,0.01,88.71
2024-11-27,ILI incidence,2024-11-24,1,CH,quantile,0.025,60.34
2024-11-27,ILI incidence,2024-12-01,2,CH,quantile,0.025,70.34
2024-11-27,ILI incidence,2024-12-08,3,CH,quantile,0.025,83.90
2024-11-27,ILI incidence,2024-12-15,4,CH,quantile,0.025,103.30
2024-11-27,ILI incidence,2024-11-24,1,CH,quantile,0.05,61.43
2024-11-27,ILI incidence,2024-12-01,2,CH,quantile,0.05,72.75
2024-11-27,ILI incidence,2024-12-08,3,CH,quantile,0.05,88.57
2024-11-27,ILI incidence,2024-12-15,4,CH,quantile,0.05,110.68
2024-11-27,ILI incidence,2024-11-24,1,CH,quantile,0.1,62.30
2024-11-27,ILI incidence,2024-12-01,2,CH,quantile,0.1,74.35
2024-11-27,ILI incidence,2024-12-08,3,CH,quantile,0.1,91.30
2024-11-27,ILI incidence,2024-12-15,4,CH,quantile,0.1,114.70
2024-11-27,ILI incidence,2024-11-24,1,CH,quantile,0.15,62.88
2024-11-27,ILI incidence,2024-12-01,2,CH,quantile,0.15,75.34
2024-11-27,ILI incidence,2024-12-08,3,CH,quantile,0.15,93.05
2024-11-27,ILI incidence,2024-12-15,4,CH,quantile,0.15,117.38
2024-11-27,ILI incidence,2024-11-24,1,CH,quantile,0.2,63.28
2024-11-27,ILI incidence,2024-12-01,2,CH,quantile,0.2,76.22
2024-11-27,ILI incidence,2024-12-08,3,CH,quantile,0.2,94.42
2024-11-27,ILI incidence,2024-12-15,4,CH,quantile,0.2,119.53
2024-11-27,ILI incidence,2024-11-24,1,CH,quantile,0.25,63.64
2024-11-27,ILI incidence,2024-12-01,2,CH,quantile,0.25,76.82
2024-11-27,ILI incidence,2024-12-08,3,CH,quantile,0.25,95.42
2024-11-27,ILI incidence,2024-12-15,4,CH,quantile,0.25,121.25
2024-11-27,ILI incidence,2024-11-24,1,CH,quantile,0.3,63.97
2024-11-27,ILI incidence,2024-12-01,2,CH,quantile,0.3,77.50
2024-11-27,ILI incidence,2024-12-08,3,CH,quantile,0.3,96.56
2024-11-27,ILI incidence,2024-12-15,4,CH,quantile,0.3,123.11
2024-11-27,ILI incidence,2024-11-24,1,CH,quantile,0.35,64.26
2024-11-27,ILI incidence,2024-12-01,2,CH,quantile,0.35,78.00
2024-11-27,ILI incidence,2024-12-08,3,CH,quantile,0.35,97.80
2024-11-27,ILI incidence,2024-12-15,4,CH,quantile,0.35,125.35
2024-11-27,ILI incidence,2024-11-24,1,CH,quantile,0.4,64.51
2024-11-27,ILI incidence,2024-12-01,2,CH,quantile,0.4,78.61
2024-11-27,ILI incidence,2024-12-08,3,CH,quantile,0.4,99.02
2024-11-27,ILI incidence,2024-12-15,4,CH,quantile,0.4,127.58
2024-11-27,ILI incidence,2024-11-24,1,CH,quantile,0.45,64.80
2024-11-27,ILI incidence,2024-12-01,2,CH,quantile,0.45,79.12
2024-11-27,ILI incidence,2024-12-08,3,CH,quantile,0.45,99.93
2024-11-27,ILI incidence,2024-12-15,4,CH,quantile,0.45,129.40
