origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.01,0
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.025,0
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.05,0
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.1,0.13425713664159744
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.15,0.9994816695355624
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.2,1.7259192042251783
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.25,2.2899087551375903
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.3,2.8526052613767963
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.35,3.3182280990655784
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.4,3.7385552214362265
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.45,4.178325581458867
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.5,4.641091072775982
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.55,5.0669236516368965
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.6,5.497480420407475
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.65,5.9312050205609195
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.7,6.447357940738968
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.75,6.992192815246969
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.8,7.579280453765207
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.85,8.23613562177009
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.9,9.168160124366517
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.95,10.387167363562735
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.975,11.496536727149378
2024-11-13,ILI incidence,2024-11-10,1,NL,quantile,0.99,12.86964686312549
2024-11-13,ILI incidence,2024-11-10,1,NL,median,,4.641091072775982
