origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.01,200.58723769827495
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.025,202.64364868768413
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.05,206.0710003366994
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.1,207.1452205158677
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.15,207.27685806296432
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.2,207.2981422450917
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.25,207.59387693938268
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.3,208.58012606167583
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.35,209.0736812121852
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.4,209.62105006154877
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.45,212.59550760515447
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.5,215.77892410727094
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.55,217.09167510885158
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.6,218.14418120021907
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.65,219.38691868751707
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.7,220.32580647209565
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.75,222.48260347819112
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.8,225.99075501244596
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.85,229.86832715023243
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.9,232.31158365280848
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.95,237.6360466921664
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.975,238.10383753530266
2024-11-06,ILI incidence,2024-10-20,-1,BE,quantile,0.99,238.38451204118442
2024-11-06,ILI incidence,2024-10-27,0,BE,quantile,0.01,213.02096570678341
2024-11-06,ILI incidence,2024-10-27,0,BE,quantile,0.025,213.07877554506805
2024-11-06,ILI incidence,2024-10-27,0,BE,quantile,0.05,213.1751252755425
2024-11-06,ILI incidence,2024-10-27,0,BE,quantile,0.1,218.02221441150576
2024-11-06,ILI incidence,2024-10-27,0,BE,quantile,0.15,218.6829068013018
2024-11-06,ILI incidence,2024-10-27,0,BE,quantile,0.2,219.2452709684855
2024-11-06,ILI incidence,2024-10-27,0,BE,quantile,0.25,223.42724528732532
2024-11-06,ILI incidence,2024-10-27,0,BE,quantile,0.3,225.0420343213532
2024-11-06,ILI incidence,2024-10-27,0,BE,quantile,0.35,225.7567455760793
2024-11-06,ILI incidence,2024-10-27,0,BE,quantile,0.4,226.14069243396025
2024-11-06,ILI incidence,2024-10-27,0,BE,quantile,0.45,228.42779567772064
2024-11-06,ILI incidence,2024-10-27,0,BE,quantile,0.5,230.55108281659932
2024-11-06,ILI incidence,2024-10-27,0,BE,quantile,0.55,231.00148674551448
2024-11-06,ILI incidence,2024-10-27,0,BE,quantile,0.6,231.50292986108684
2024-11-06,ILI incidence,2024-10-27,0,BE,quantile,0.65,233.29213551261157
2024-11-06,ILI incidence,2024-10-27,0,BE,quantile,0.7,235.80697370841747
2024-11-06,ILI incidence,2024-10-27,0,BE,quantile,0.75,239.79867031921316
2024-11-06,ILI incidence,2024-10-27,0,BE,quantile,0.8,252.17022396401947
2024-11-06,ILI incidence,2024-10-27,0,BE,quantile,0.85,254.52804559393354
2024-11-06,ILI incidence,2024-10-27,0,BE,quantile,0.9,255.47987050513464
2024-11-06,ILI incidence,2024-10-27,0,BE,quantile,0.95,261.5587942068917
