origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-11-20,ARI incidence,2024-11-03,-1,BE,quantile,0.01,783.2414927108055
2024-11-20,ARI incidence,2024-11-10,0,BE,quantile,0.01,690.642305298443
2024-11-20,ARI incidence,2024-11-17,1,BE,quantile,0.01,552.4261143551201
2024-11-20,ARI incidence,2024-11-24,2,BE,quantile,0.01,412.13102497884194
2024-11-20,ARI incidence,2024-12-01,3,BE,quantile,0.01,319.3973258942954
2024-11-20,ARI incidence,2024-12-08,4,BE,quantile,0.01,243.5900133672565
2024-11-20,ARI incidence,2024-11-03,-1,BE,quantile,0.025,803.0512144284921
2024-11-20,ARI incidence,2024-11-10,0,BE,quantile,0.025,706.4107565283932
2024-11-20,ARI incidence,2024-11-17,1,BE,quantile,0.025,572.4949569173081
2024-11-20,ARI incidence,2024-11-24,2,BE,quantile,0.025,445.1266748814652
2024-11-20,ARI incidence,2024-12-01,3,BE,quantile,0.025,338.1384104388012
2024-11-20,ARI incidence,2024-12-08,4,BE,quantile,0.025,256.8501507886751
2024-11-20,ARI incidence,2024-11-03,-1,BE,quantile,0.05,823.018660320329
2024-11-20,ARI incidence,2024-11-10,0,BE,quantile,0.05,716.0919807740449
2024-11-20,ARI incidence,2024-11-17,1,BE,quantile,0.05,617.3095470961979
2024-11-20,ARI incidence,2024-11-24,2,BE,quantile,0.05,497.8678367301181
2024-11-20,ARI incidence,2024-12-01,3,BE,quantile,0.05,392.179277156029
2024-11-20,ARI incidence,2024-12-08,4,BE,quantile,0.05,311.2327568719761
2024-11-20,ARI incidence,2024-11-03,-1,BE,quantile,0.1,855.3308410281777
2024-11-20,ARI incidence,2024-11-10,0,BE,quantile,0.1,749.4569274422811
2024-11-20,ARI incidence,2024-11-17,1,BE,quantile,0.1,648.2112738633023
2024-11-20,ARI incidence,2024-11-24,2,BE,quantile,0.1,567.8833376161882
2024-11-20,ARI incidence,2024-12-01,3,BE,quantile,0.1,469.5647709839199
2024-11-20,ARI incidence,2024-12-08,4,BE,quantile,0.1,378.5825342199428
2024-11-20,ARI incidence,2024-11-03,-1,BE,quantile,0.15,874.1397529194297
2024-11-20,ARI incidence,2024-11-10,0,BE,quantile,0.15,769.9118051482279
2024-11-20,ARI incidence,2024-11-17,1,BE,quantile,0.15,690.9388744274856
2024-11-20,ARI incidence,2024-11-24,2,BE,quantile,0.15,605.112223019358
2024-11-20,ARI incidence,2024-12-01,3,BE,quantile,0.15,518.1438963061842
2024-11-20,ARI incidence,2024-12-08,4,BE,quantile,0.15,446.9299805440082
2024-11-20,ARI incidence,2024-11-03,-1,BE,quantile,0.2,900.5442975977295
2024-11-20,ARI incidence,2024-11-10,0,BE,quantile,0.2,805.6652490723618
2024-11-20,ARI incidence,2024-11-17,1,BE,quantile,0.2,727.944438503808
2024-11-20,ARI incidence,2024-11-24,2,BE,quantile,0.2,636.5534962609248
2024-11-20,ARI incidence,2024-12-01,3,BE,quantile,0.2,562.823292228763
