origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-10-16,ARI incidence,2024-10-13,1,BE,quantile,0.01,820.7943280461069
2024-10-16,ARI incidence,2024-10-20,2,BE,quantile,0.01,702.17794752975
2024-10-16,ARI incidence,2024-10-27,3,BE,quantile,0.01,617.700676987253
2024-10-16,ARI incidence,2024-11-03,4,BE,quantile,0.01,558.5509348575313
2024-10-16,ARI incidence,2024-10-13,1,BE,quantile,0.025,841.7523886198607
2024-10-16,ARI incidence,2024-10-20,2,BE,quantile,0.025,740.1288759149118
2024-10-16,ARI incidence,2024-10-27,3,BE,quantile,0.025,665.8038449459226
2024-10-16,ARI incidence,2024-11-03,4,BE,quantile,0.025,613.1310673864954
2024-10-16,ARI incidence,2024-10-13,1,BE,quantile,0.05,858.577893798905
2024-10-16,ARI incidence,2024-10-20,2,BE,quantile,0.05,768.1442622642797
2024-10-16,ARI incidence,2024-10-27,3,BE,quantile,0.05,702.7808886944214
2024-10-16,ARI incidence,2024-11-03,4,BE,quantile,0.05,657.055467967984
2024-10-16,ARI incidence,2024-10-13,1,BE,quantile,0.1,876.5286946365795
2024-10-16,ARI incidence,2024-10-20,2,BE,quantile,0.1,799.1614877657014
2024-10-16,ARI incidence,2024-10-27,3,BE,quantile,0.1,742.6300396452853
2024-10-16,ARI incidence,2024-11-03,4,BE,quantile,0.1,702.8070156293815
2024-10-16,ARI incidence,2024-10-13,1,BE,quantile,0.15,886.7460741262024
2024-10-16,ARI incidence,2024-10-20,2,BE,quantile,0.15,817.1004841363203
2024-10-16,ARI incidence,2024-10-27,3,BE,quantile,0.15,766.7775181816608
2024-10-16,ARI incidence,2024-11-03,4,BE,quantile,0.15,730.5991313737311
2024-10-16,ARI incidence,2024-10-13,1,BE,quantile,0.2,893.8299534075292
2024-10-16,ARI incidence,2024-10-20,2,BE,quantile,0.2,829.920492922474
2024-10-16,ARI incidence,2024-10-27,3,BE,quantile,0.2,783.8016887138377
2024-10-16,ARI incidence,2024-11-03,4,BE,quantile,0.2,751.5840406913441
2024-10-16,ARI incidence,2024-10-13,1,BE,quantile,0.25,899.6511010623838
2024-10-16,ARI incidence,2024-10-20,2,BE,quantile,0.25,840.3328544307037
2024-10-16,ARI incidence,2024-10-27,3,BE,quantile,0.25,797.4175920858693
2024-10-16,ARI incidence,2024-11-03,4,BE,quantile,0.25,768.5083137810379
2024-10-16,ARI incidence,2024-10-13,1,BE,quantile,0.3,904.5417132510272
2024-10-16,ARI incidence,2024-10-20,2,BE,quantile,0.3,849.2819284218464
2024-10-16,ARI incidence,2024-10-27,3,BE,quantile,0.3,809.9635679487822
2024-10-16,ARI incidence,2024-11-03,4,BE,quantile,0.3,783.5758289119892
2024-10-16,ARI incidence,2024-10-13,1,BE,quantile,0.35,908.8884255304235
2024-10-16,ARI incidence,2024-10-20,2,BE,quantile,0.35,857.4242152148327
2024-10-16,ARI incidence,2024-10-27,3,BE,quantile,0.35,821.982402579511
2024-10-16,ARI incidence,2024-11-03,4,BE,quantile,0.35,799.5307066246583
2024-10-16,ARI incidence,2024-10-13,1,BE,quantile,0.4,912.9324205931686
