target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2024-12-04,2024-12-01,0.01,1,quantile,1682.64562911916
ILI incidence,AT,2024-12-04,2024-12-01,0.025,1,quantile,1832.49866047443
ILI incidence,AT,2024-12-04,2024-12-01,0.05,1,quantile,1915.94551598464
ILI incidence,AT,2024-12-04,2024-12-01,0.1,1,quantile,2096.97354234192
ILI incidence,AT,2024-12-04,2024-12-01,0.15,1,quantile,2217.95516938337
ILI incidence,AT,2024-12-04,2024-12-01,0.2,1,quantile,2323.83545164394
ILI incidence,AT,2024-12-04,2024-12-01,0.25,1,quantile,2400.92373321294
ILI incidence,AT,2024-12-04,2024-12-01,0.3,1,quantile,2480.5798661625
ILI incidence,AT,2024-12-04,2024-12-01,0.35,1,quantile,2549.85239309646
ILI incidence,AT,2024-12-04,2024-12-01,0.4,1,quantile,2641.49838313192
ILI incidence,AT,2024-12-04,2024-12-01,0.45,1,quantile,2737.03993491443
ILI incidence,AT,2024-12-04,2024-12-01,0.5,1,quantile,2810.81158110674
ILI incidence,AT,2024-12-04,2024-12-01,0.55,1,quantile,2899.42163897826
ILI incidence,AT,2024-12-04,2024-12-01,0.6,1,quantile,2969.79039813456
ILI incidence,AT,2024-12-04,2024-12-01,0.65,1,quantile,3049.23629298073
ILI incidence,AT,2024-12-04,2024-12-01,0.7,1,quantile,3130.64190434022
ILI incidence,AT,2024-12-04,2024-12-01,0.75,1,quantile,3223.89857709512
ILI incidence,AT,2024-12-04,2024-12-01,0.8,1,quantile,3322.81168137002
ILI incidence,AT,2024-12-04,2024-12-01,0.85,1,quantile,3431.3605886542
ILI incidence,AT,2024-12-04,2024-12-01,0.9,1,quantile,3580.28919529458
ILI incidence,AT,2024-12-04,2024-12-01,0.95,1,quantile,3852.22117829148
ILI incidence,AT,2024-12-04,2024-12-01,0.975,1,quantile,4067.4269775249
ILI incidence,AT,2024-12-04,2024-12-01,0.99,1,quantile,4378.05519544367
ILI incidence,AT,2024-12-04,2024-12-08,0.01,2,quantile,1304.25793233562
ILI incidence,AT,2024-12-04,2024-12-08,0.025,2,quantile,1425.19663548933
ILI incidence,AT,2024-12-04,2024-12-08,0.05,2,quantile,1580.56683089563
ILI incidence,AT,2024-12-04,2024-12-08,0.1,2,quantile,1795.35642739823
ILI incidence,AT,2024-12-04,2024-12-08,0.15,2,quantile,1928.99360450778
ILI incidence,AT,2024-12-04,2024-12-08,0.2,2,quantile,2044.49640744141
ILI incidence,AT,2024-12-04,2024-12-08,0.25,2,quantile,2153.27243676171
ILI incidence,AT,2024-12-04,2024-12-08,0.3,2,quantile,2285.27712903734
ILI incidence,AT,2024-12-04,2024-12-08,0.35,2,quantile,2363.25533864102
ILI incidence,AT,2024-12-04,2024-12-08,0.4,2,quantile,2479.39094676227
ILI incidence,AT,2024-12-04,2024-12-08,0.45,2,quantile,2606.28630962733
ILI incidence,AT,2024-12-04,2024-12-08,0.5,2,quantile,2678.96974343239
ILI incidence,AT,2024-12-04,2024-12-08,0.55,2,quantile,2789.8170130829
ILI incidence,AT,2024-12-04,2024-12-08,0.6,2,quantile,2897.47014400927
ILI incidence,AT,2024-12-04,2024-12-08,0.65,2,quantile,2985.92388471583
ILI incidence,AT,2024-12-04,2024-12-08,0.7,2,quantile,3108.89237951305
ILI incidence,AT,2024-12-04,2024-12-08,0.75,2,quantile,3238.95486050626
ILI incidence,AT,2024-12-04,2024-12-08,0.8,2,quantile,3388.85316288746
ILI incidence,AT,2024-12-04,2024-12-08,0.85,2,quantile,3532.38220677416
ILI incidence,AT,2024-12-04,2024-12-08,0.9,2,quantile,3831.843809485
ILI incidence,AT,2024-12-04,2024-12-08,0.95,2,quantile,4138.08116780947
ILI incidence,AT,2024-12-04,2024-12-08,0.975,2,quantile,4495.43129791431
ILI incidence,AT,2024-12-04,2024-12-08,0.99,2,quantile,4976.52035077316
ILI incidence,AT,2024-12-04,2024-12-15,0.01,3,quantile,982.076540899277
ILI incidence,AT,2024-12-04,2024-12-15,0.025,3,quantile,1142.22934056121
ILI incidence,AT,2024-12-04,2024-12-15,0.05,3,quantile,1271.57700960248
ILI incidence,AT,2024-12-04,2024-12-15,0.1,3,quantile,1457.79413175981
ILI incidence,AT,2024-12-04,2024-12-15,0.15,3,quantile,1609.02664488836
ILI incidence,AT,2024-12-04,2024-12-15,0.2,3,quantile,1733.8244003145
ILI incidence,AT,2024-12-04,2024-12-15,0.25,3,quantile,1849.03794373504
ILI incidence,AT,2024-12-04,2024-12-15,0.3,3,quantile,1996.00272231446
ILI incidence,AT,2024-12-04,2024-12-15,0.35,3,quantile,2120.33209857016
ILI incidence,AT,2024-12-04,2024-12-15,0.4,3,quantile,2228.58213797561
ILI incidence,AT,2024-12-04,2024-12-15,0.45,3,quantile,2335.59836437534
ILI incidence,AT,2024-12-04,2024-12-15,0.5,3,quantile,2459.31915687459
ILI incidence,AT,2024-12-04,2024-12-15,0.55,3,quantile,2580.11569357101
ILI incidence,AT,2024-12-04,2024-12-15,0.6,3,quantile,2709.38375706026
