target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2024-10-23,2024-10-20,0.01,1,quantile,2521.13668490811
ILI incidence,AT,2024-10-23,2024-10-20,0.025,1,quantile,2585.34873925723
ILI incidence,AT,2024-10-23,2024-10-20,0.05,1,quantile,2728.5618107454
ILI incidence,AT,2024-10-23,2024-10-20,0.1,1,quantile,2836.53976165282
ILI incidence,AT,2024-10-23,2024-10-20,0.15,1,quantile,2912.57103524182
ILI incidence,AT,2024-10-23,2024-10-20,0.2,1,quantile,2979.52830273734
ILI incidence,AT,2024-10-23,2024-10-20,0.25,1,quantile,3033.62761943793
ILI incidence,AT,2024-10-23,2024-10-20,0.3,1,quantile,3089.63149315253
ILI incidence,AT,2024-10-23,2024-10-20,0.35,1,quantile,3145.29345888488
ILI incidence,AT,2024-10-23,2024-10-20,0.4,1,quantile,3191.84662011365
ILI incidence,AT,2024-10-23,2024-10-20,0.45,1,quantile,3228.27033549509
ILI incidence,AT,2024-10-23,2024-10-20,0.5,1,quantile,3280.11794780584
ILI incidence,AT,2024-10-23,2024-10-20,0.55,1,quantile,3325.56724642218
ILI incidence,AT,2024-10-23,2024-10-20,0.6,1,quantile,3366.99265346785
ILI incidence,AT,2024-10-23,2024-10-20,0.65,1,quantile,3417.76636440373
ILI incidence,AT,2024-10-23,2024-10-20,0.7,1,quantile,3482.64816410621
ILI incidence,AT,2024-10-23,2024-10-20,0.75,1,quantile,3542.17394073166
ILI incidence,AT,2024-10-23,2024-10-20,0.8,1,quantile,3612.34387571091
ILI incidence,AT,2024-10-23,2024-10-20,0.85,1,quantile,3706.19870834044
ILI incidence,AT,2024-10-23,2024-10-20,0.9,1,quantile,3803.04772670491
ILI incidence,AT,2024-10-23,2024-10-20,0.95,1,quantile,3947.05804101596
ILI incidence,AT,2024-10-23,2024-10-20,0.975,1,quantile,4055.78753588302
ILI incidence,AT,2024-10-23,2024-10-20,0.99,1,quantile,4200.35391911595
ILI incidence,AT,2024-10-23,2024-10-27,0.01,2,quantile,2032.53278987954
ILI incidence,AT,2024-10-23,2024-10-27,0.025,2,quantile,2191.95333146023
ILI incidence,AT,2024-10-23,2024-10-27,0.05,2,quantile,2316.70217468421
ILI incidence,AT,2024-10-23,2024-10-27,0.1,2,quantile,2466.87689548513
ILI incidence,AT,2024-10-23,2024-10-27,0.15,2,quantile,2596.97635208154
ILI incidence,AT,2024-10-23,2024-10-27,0.2,2,quantile,2700.01691573651
ILI incidence,AT,2024-10-23,2024-10-27,0.25,2,quantile,2779.25607846778
ILI incidence,AT,2024-10-23,2024-10-27,0.3,2,quantile,2845.19901348702
ILI incidence,AT,2024-10-23,2024-10-27,0.35,2,quantile,2902.84560446442
ILI incidence,AT,2024-10-23,2024-10-27,0.4,2,quantile,2967.43372774054
ILI incidence,AT,2024-10-23,2024-10-27,0.45,2,quantile,3029.984445983
ILI incidence,AT,2024-10-23,2024-10-27,0.5,2,quantile,3095.1288822405
ILI incidence,AT,2024-10-23,2024-10-27,0.55,2,quantile,3166.03824520081
ILI incidence,AT,2024-10-23,2024-10-27,0.6,2,quantile,3234.24909707681
ILI incidence,AT,2024-10-23,2024-10-27,0.65,2,quantile,3306.68706394921
ILI incidence,AT,2024-10-23,2024-10-27,0.7,2,quantile,3382.48888228213
ILI incidence,AT,2024-10-23,2024-10-27,0.75,2,quantile,3475.06947032786
ILI incidence,AT,2024-10-23,2024-10-27,0.8,2,quantile,3595.85477235713
ILI incidence,AT,2024-10-23,2024-10-27,0.85,2,quantile,3724.31741684538
ILI incidence,AT,2024-10-23,2024-10-27,0.9,2,quantile,3951.89690827358
ILI incidence,AT,2024-10-23,2024-10-27,0.95,2,quantile,4161.66067287809
ILI incidence,AT,2024-10-23,2024-10-27,0.975,2,quantile,4419.97352798749
ILI incidence,AT,2024-10-23,2024-10-27,0.99,2,quantile,4590.8103961136
ILI incidence,AT,2024-10-23,2024-11-03,0.01,3,quantile,1684.35429736917
ILI incidence,AT,2024-10-23,2024-11-03,0.025,3,quantile,1799.3972601183
ILI incidence,AT,2024-10-23,2024-11-03,0.05,3,quantile,1929.44951569625
ILI incidence,AT,2024-10-23,2024-11-03,0.1,3,quantile,2149.64580563457
ILI incidence,AT,2024-10-23,2024-11-03,0.15,3,quantile,2285.11108072652
ILI incidence,AT,2024-10-23,2024-11-03,0.2,3,quantile,2397.77793029375
ILI incidence,AT,2024-10-23,2024-11-03,0.25,3,quantile,2482.3651751289
ILI incidence,AT,2024-10-23,2024-11-03,0.3,3,quantile,2558.18971372161
ILI incidence,AT,2024-10-23,2024-11-03,0.35,3,quantile,2641.10864134139
ILI incidence,AT,2024-10-23,2024-11-03,0.4,3,quantile,2710.84282123454
ILI incidence,AT,2024-10-23,2024-11-03,0.45,3,quantile,2802.32794255691
ILI incidence,AT,2024-10-23,2024-11-03,0.5,3,quantile,2872.22423163795
ILI incidence,AT,2024-10-23,2024-11-03,0.55,3,quantile,2956.48265470183
ILI incidence,AT,2024-10-23,2024-11-03,0.6,3,quantile,3039.65028874203
ILI incidence,AT,2024-10-23,2024-11-03,0.65,3,quantile,3116.84872411893
ILI incidence,AT,2024-10-23,2024-11-03,0.7,3,quantile,3227.7810488963
ILI incidence,AT,2024-10-23,2024-11-03,0.75,3,quantile,3351.02567479874
ILI incidence,AT,2024-10-23,2024-11-03,0.8,3,quantile,3480.04930697736
ILI incidence,AT,2024-10-23,2024-11-03,0.85,3,quantile,3648.70187690998
ILI incidence,AT,2024-10-23,2024-11-03,0.9,3,quantile,3820.77617305657
ILI incidence,AT,2024-10-23,2024-11-03,0.95,3,quantile,4132.96068498119
ILI incidence,AT,2024-10-23,2024-11-03,0.975,3,quantile,4470.05661744954
ILI incidence,AT,2024-10-23,2024-11-03,0.99,3,quantile,4749.0326545855
ILI incidence,AT,2024-10-23,2024-11-10,0.01,4,quantile,1328.99394485976
ILI incidence,AT,2024-10-23,2024-11-10,0.025,4,quantile,1493.9921898261
ILI incidence,AT,2024-10-23,2024-11-10,0.05,4,quantile,1622.89675561906
ILI incidence,AT,2024-10-23,2024-11-10,0.1,4,quantile,1815.49710854034
ILI incidence,AT,2024-10-23,2024-11-10,0.15,4,quantile,1963.06628696421
ILI incidence,AT,2024-10-23,2024-11-10,0.2,4,quantile,2106.72477309912
ILI incidence,AT,2024-10-23,2024-11-10,0.25,4,quantile,2187.87562072094
ILI incidence,AT,2024-10-23,2024-11-10,0.3,4,quantile,2283.78712826452
ILI incidence,AT,2024-10-23,2024-11-10,0.35,4,quantile,2365.32749997834
ILI incidence,AT,2024-10-23,2024-11-10,0.4,4,quantile,2441.02512789628
ILI incidence,AT,2024-10-23,2024-11-10,0.45,4,quantile,2508.53990113056
ILI incidence,AT,2024-10-23,2024-11-10,0.5,4,quantile,2583.07403939085
ILI incidence,AT,2024-10-23,2024-11-10,0.55,4,quantile,2663.63709621918
ILI incidence,AT,2024-10-23,2024-11-10,0.6,4,quantile,2762.50774277272
ILI incidence,AT,2024-10-23,2024-11-10,0.65,4,quantile,2876.81375862988
ILI incidence,AT,2024-10-23,2024-11-10,0.7,4,quantile,2989.40131887624
ILI incidence,AT,2024-10-23,2024-11-10,0.75,4,quantile,3130.34756032183
ILI incidence,AT,2024-10-23,2024-11-10,0.8,4,quantile,3250.1995340555
ILI incidence,AT,2024-10-23,2024-11-10,0.85,4,quantile,3422.36228965119
