target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,AT,2024-10-20,1,quantile,0.01,876.7179421198003,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.01,1012.1258744311467,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.01,1007.7254313106336,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.01,1209.9515892984657,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.025,1193.2583416613147,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.025,1170.8517540663672,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.025,1116.3747631214867,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.025,1231.678235120541,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.05,1232.68352505537,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.05,1191.8635641576702,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.05,1137.1854144084991,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.05,1290.5900570149104,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.1,1247.7924666853744,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.1,1232.52077314434,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.1,1179.1039460837628,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.1,1351.9321454729431,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.15,1263.712165861995,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.15,1295.5948854920694,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.15,1305.3359267250935,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.15,1457.481654461841,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.2,1337.84634307381,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.2,1427.3710364845178,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.2,1478.6182971032079,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.2,1540.0434301953749,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.25,1406.9363702063652,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.25,1533.1521555336067,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.25,1580.2663996550514,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.25,1609.6924974845856,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.3,1493.5303151229853,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.3,1602.2348069122177,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.3,1679.0196061750664,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.3,1689.7747066282113,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.35,1615.5741277147195,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.35,1657.9369856971102,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.35,1715.6351836725373,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.35,1739.3520668502194,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.4,1671.8280630070003,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.4,1690.573721472181,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.4,1744.9523009610687,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.4,1784.7719488970195,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.45,1784.2870061562248,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.45,1719.08210094788,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.45,1784.4495777771126,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.45,1822.8189014863356,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.5,1906.537468822373,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.5,1779.8185169702592,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.5,1822.6250455048557,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.5,1878.9334553178949,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.55,1930.8096871759672,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.55,1823.5956515402313,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.55,1855.5711252566787,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.55,1915.945855398433,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.6,1969.7459135898523,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.6,1863.209421394017,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.6,1901.8467373843655,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.6,1963.488093168915,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.65,2053.745382587347,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.65,1899.0168006759409,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.65,1946.3370107553549,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.65,2017.6392305486904,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.7,2134.9321409452396,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.7,1939.7904708897445,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.7,1992.9543913063053,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.7,2088.6411038137994,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.75,2180.8625837962218,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.75,1974.2013715127773,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.75,2051.89099938652,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.75,2147.99075453234,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.8,2253.564662759793,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.8,2007.2396818277987,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.8,2106.8483439582346,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.8,2208.01525625993,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.85,2336.508326308209,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.85,2048.9667790895237,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.85,2181.307802979828,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.85,2299.364220567355,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.9,2368.876969870119,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.9,2113.0493561504986,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.9,2262.550636295207,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.9,2371.5897373796274,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.95,2426.043561573609,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.95,2271.940723520465,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.95,2337.4391837950134,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.95,2484.3082138480518,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.975,2543.300846568886,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.975,2433.6269323941283,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.975,2452.1937500083027,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.975,2560.347105108279,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.99,2582.2299731124485,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.99,2512.871842560847,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.99,2562.9062201003007,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.99,2641.466992291863,2024-10-23
ILI incidence,AT,2024-10-20,1,median,,1906.537468822373,2024-10-23
