target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,AT,2024-10-20,1,quantile,0.01,536.8365142765238,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.01,686.5293458495781,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.01,598.8663674745109,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.01,610.4252536435102,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.025,553.3554773258306,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.025,694.0335331143139,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.025,636.6040578003672,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.025,654.4704323478467,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.05,580.3967812057242,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.05,736.2871381582731,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.05,719.7491813603664,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.05,700.6833703247979,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.1,713.8753191308749,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.1,851.9828274315246,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.1,746.2403862550387,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.1,894.9627672379013,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.15,802.5258046371191,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.15,915.1040585331535,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.15,866.8160840175301,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.15,920.5200453695537,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.2,905.2296050783239,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.2,935.5987899957079,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.2,890.378482741736,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.2,944.0782763797185,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.25,948.540261378561,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.25,961.8077620943271,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.25,906.1419124073728,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.25,950.3849510224973,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.3,954.5565693329278,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.3,974.5275720674749,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.3,913.9344114322138,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.3,998.0876193897882,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.35,958.8629522370637,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.35,983.8058749180731,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.35,937.5748899732477,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.35,1016.1905943126053,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.4,963.9324295698146,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.4,990.5548719704678,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.4,946.4977243359515,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.4,1020.7079241795109,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.45,969.7997741357609,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.45,995.1860343439721,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.45,968.949769277568,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.45,1024.0920043623212,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.5,975.2113878334962,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.5,1000.6286973139169,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.5,969.3853763812383,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.5,1025.724492174762,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.55,981.8597458054386,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.55,1005.1071474319067,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.55,973.0287745428473,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.55,1027.6316666300665,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.6,991.5069469113344,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.6,1009.4273118309765,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.6,978.7187409316274,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.6,1030.2747236243556,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.65,1002.3923080390025,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.65,1020.0806645543036,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.65,983.9191009101048,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.65,1062.1342002832196,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.7,1013.919607252354,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.7,1035.1689769901793,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.7,989.467650344209,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.7,1088.8971488567784,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.75,1029.5427332721606,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.75,1040.880161546641,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.75,1003.2052111049079,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.75,1111.6710569945549,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.8,1059.0550767698398,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.8,1055.266098336194,2024-10-23
