target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,AT,2024-10-20,1,quantile,0.01,786.5159558880966,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.01,908.4972650198323,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.01,921.3244493301265,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.01,1172.3652979020055,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.025,831.7441512028728,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.025,928.5819182091719,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.025,933.5720819054051,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.025,1250.1722181655614,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.05,971.7105248560792,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.05,946.270145385285,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.05,952.0985616834035,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.05,1295.0582995486811,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.1,1009.8309892537355,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.1,958.5365986232863,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.1,1091.1317975357247,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.1,1436.950664727233,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.15,1024.812951644862,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.15,1009.3383763242139,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.15,1102.2500006247035,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.15,1534.6405180276317,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.2,1048.623264478124,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.2,1092.2607275875373,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.2,1125.245292682851,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.2,1541.8113679103046,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.25,1080.9768463314572,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.25,1129.2430144931927,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.25,1150.9214715865137,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.25,1585.428830358124,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.3,1128.29966185788,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.3,1135.9941800711908,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.3,1194.347411967751,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.3,1648.1756156179338,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.35,1137.8102616967114,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.35,1145.335489368555,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.35,1201.31270622998,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.35,1682.0495151897717,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.4,1144.8868219570704,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.4,1150.4137663788388,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.4,1211.2056748819036,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.4,1709.401879963353,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.45,1153.7277332002316,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.45,1176.1094848424507,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.45,1223.199644163101,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.45,1718.6169920858445,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.5,1162.4754336719793,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.5,1183.913632694534,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.5,1230.4967954005754,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.5,1742.3361001540793,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.55,1173.5607569645385,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.55,1207.8767193347783,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.55,1263.2188630971782,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.55,1775.095039869765,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.6,1179.677015430471,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.6,1215.2152014507567,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.6,1290.5944120072083,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.6,1785.0222401404862,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.65,1196.5662003557502,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.65,1229.7885668117449,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.65,1305.9268429373872,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.65,1814.3960400780086,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.7,1228.884987435201,2024-10-23
