target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,AT,2024-10-20,1,quantile,0.01,595.1542640978045,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.01,588.8171917696424,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.01,596.8521706158958,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.01,653.8794353106794,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.025,716.150226394003,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.025,671.7232136684727,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.025,757.1482104173103,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.025,770.9669650083174,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.05,786.0226452630709,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.05,808.2872831524379,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.05,860.1106952960669,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.05,861.1801896643706,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.1,890.4156325385603,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.1,909.9430335401778,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.1,980.2060304231545,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.1,977.3877238742891,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.15,975.526617183897,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.15,1003.776446150178,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.15,1081.2390045627828,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.15,1063.2778157309365,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.2,1073.3373587365818,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.2,1066.7916495740342,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.2,1152.230552752161,2024-10-23
ILI incidence,AT,2024-11-10,4,quantile,0.2,1142.2722428179363,2024-10-23
ILI incidence,AT,2024-10-20,1,quantile,0.25,1140.5631192713265,2024-10-23
ILI incidence,AT,2024-10-27,2,quantile,0.25,1138.9377003889408,2024-10-23
ILI incidence,AT,2024-11-03,3,quantile,0.25,1225.0208416736762,2024-10-23
