"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2024-11-06,1,2024-11-03,0.01,4030.54,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.025,4046,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.05,4081.65,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.1,4100.8,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.15,4107.85,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.2,4123.4,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.25,4131,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.3,4147.1,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.35,4151,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.4,4156.8,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.45,4167.55,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.5,4174.5,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.55,4181.9,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.6,4191,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.65,4195.7,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.7,4204,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.75,4212.75,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.8,4223,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.85,4231.3,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.9,4244,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.95,4276.2,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.975,4286.1,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.99,4330.14,"quantile","ILI incidence","AT"
2024-11-06,1,2024-11-03,0.01,222.87,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.025,227.95,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.05,230.95,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.1,234,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.15,236.85,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.2,239,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.25,241,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.3,243,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.35,246,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.4,247,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.45,248,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.5,249.5,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.55,252,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.6,254,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.65,255.35,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.7,258,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.75,260.25,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.8,261.2,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.85,266,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.9,267.1,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.95,276.1,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.975,279.525,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.99,281.08,"quantile","ILI incidence","BE"
2024-11-06,1,2024-11-03,0.01,0,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.025,0,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.05,0,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.1,0,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.15,0,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.2,0,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.25,0.75,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.3,1,"quantile","ILI incidence","HR"
2024-11-06,1,2024-11-03,0.35,1,"quantile","ILI incidence","HR"
