origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.01,147.32871372881235
2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.01,117.75543446010175
2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.01,101.44330452205288
2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.01,92.37313912973032
2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.025,149.5805259379811
2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.025,121.09282065758846
2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.025,105.41354510215828
2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.025,96.71572800753188
2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.05,153.2618967109917
2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.05,126.54893993594165
2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.05,111.90428512653008
2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.05,103.81520091599482
2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.1,160.3881794523762
2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.1,137.11072548965973
2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.1,124.46885725645645
2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.1,117.55813918002951
2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.15,167.2501111870646
2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.15,147.28071931338943
2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.15,136.56734385318288
2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.15,130.79128016308323
2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.2,173.8986614270235
2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.2,157.13446276223897
2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.2,148.28961085843133
2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.2,143.6129178680358
2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.25,180.37618179441
2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.25,166.73472471127377
2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.25,159.71032974268965
2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.25,156.10472681578523
2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.3,186.71878762805096
2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.3,176.1350313083795
2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.3,170.89317659013193
2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.3,168.33635494059072
2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.35,192.95807503192748
2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.35,185.3822107930032
2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.35,181.89385948053848
2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.35,180.3687348944608
2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.4,199.1224080936568
2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.4,194.5183012685588
2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.4,192.7623880244873
2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.4,192.2565664302938
2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.45,205.23792639502284
2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.45,203.58204392274348
2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.45,203.54484973670256
2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.45,204.05025937208129
2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.5,211.32937384291688
2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.5,212.61011142879096
2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.5,214.28487137382484
2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.5,215.79753200397727
2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.55,217.4208212908109
2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.55,221.63817893483844
2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.55,225.02489301094712
2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.55,227.54480463587345
2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.6,223.53633959217697
2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.6,230.7019215890231
2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.6,235.8073547231624
2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.6,239.3384975776609
2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.65,229.70067265390628
2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.65,239.83801206457872
2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.65,246.6758832671112
2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.65,251.226329113494
2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.7,235.9399600577828
2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.7,249.0851915492024
2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.7,257.6765661575177
2024-10-30,ILI incidence,2024-11-17,4,BE,quantile,0.7,263.258709067364
2024-10-30,ILI incidence,2024-10-27,1,BE,quantile,0.75,242.2825658914238
2024-10-30,ILI incidence,2024-11-03,2,BE,quantile,0.75,258.48549814630815
2024-10-30,ILI incidence,2024-11-10,3,BE,quantile,0.75,268.85941300496006
