origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-11-27,ILI incidence,2024-11-10,-1,AT,quantile,0.01,1868.065826201227
2024-11-27,ILI incidence,2024-11-17,0,AT,quantile,0.01,1508.609187705378
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.01,1135.5191666576382
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.01,817.3593771854646
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.01,571.7965095960686
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.01,395.70971602748466
2024-11-27,ILI incidence,2024-11-10,-1,AT,quantile,0.025,1912.1677836020526
2024-11-27,ILI incidence,2024-11-17,0,AT,quantile,0.025,1539.7505789387578
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.025,1168.1716504638157
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.025,845.9732280805132
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.025,599.2194139648602
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.025,407.3911203755838
2024-11-27,ILI incidence,2024-11-10,-1,AT,quantile,0.05,1990.8173584381086
2024-11-27,ILI incidence,2024-11-17,0,AT,quantile,0.05,1591.3555748711387
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.05,1197.505277307988
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.05,875.1227155956796
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.05,614.0616824160167
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.05,420.38629578853676
2024-11-27,ILI incidence,2024-11-10,-1,AT,quantile,0.1,2032.9345183435532
2024-11-27,ILI incidence,2024-11-17,0,AT,quantile,0.1,1683.1705217504134
2024-11-27,ILI incidence,2024-11-24,1,AT,quantile,0.1,1260.6351769623159
2024-11-27,ILI incidence,2024-12-01,2,AT,quantile,0.1,909.6744122541063
2024-11-27,ILI incidence,2024-12-08,3,AT,quantile,0.1,639.9271605769658
2024-11-27,ILI incidence,2024-12-15,4,AT,quantile,0.1,442.93965578906233
