origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-11-20,ILI incidence,2024-11-03,-1,BE,quantile,0.01,69.30159115157038
2024-11-20,ILI incidence,2024-11-10,0,BE,quantile,0.01,84.56407997125643
2024-11-20,ILI incidence,2024-11-17,1,BE,quantile,0.01,102.72864917507133
2024-11-20,ILI incidence,2024-11-24,2,BE,quantile,0.01,124.54282165635873
2024-11-20,ILI incidence,2024-12-01,3,BE,quantile,0.01,150.6076152540413
2024-11-20,ILI incidence,2024-12-08,4,BE,quantile,0.01,179.93073270993213
2024-11-20,ILI incidence,2024-11-03,-1,BE,quantile,0.025,69.93418892161962
2024-11-20,ILI incidence,2024-11-10,0,BE,quantile,0.025,85.17790008900305
2024-11-20,ILI incidence,2024-11-17,1,BE,quantile,0.025,103.8275831014164
2024-11-20,ILI incidence,2024-11-24,2,BE,quantile,0.025,126.21712340140952
2024-11-20,ILI incidence,2024-12-01,3,BE,quantile,0.025,152.89258886068862
2024-11-20,ILI incidence,2024-12-08,4,BE,quantile,0.025,182.51286492608597
2024-11-20,ILI incidence,2024-11-03,-1,BE,quantile,0.05,70.54166111769955
2024-11-20,ILI incidence,2024-11-10,0,BE,quantile,0.05,86.06146294363074
2024-11-20,ILI incidence,2024-11-17,1,BE,quantile,0.05,105.12667565466207
2024-11-20,ILI incidence,2024-11-24,2,BE,quantile,0.05,128.4901548539689
2024-11-20,ILI incidence,2024-12-01,3,BE,quantile,0.05,155.75009317295508
2024-11-20,ILI incidence,2024-12-08,4,BE,quantile,0.05,186.07577591539953
2024-11-20,ILI incidence,2024-11-03,-1,BE,quantile,0.1,71.43070165572772
2024-11-20,ILI incidence,2024-11-10,0,BE,quantile,0.1,87.2892742137339
2024-11-20,ILI incidence,2024-11-17,1,BE,quantile,0.1,106.88425181308499
2024-11-20,ILI incidence,2024-11-24,2,BE,quantile,0.1,131.28705299703972
2024-11-20,ILI incidence,2024-12-01,3,BE,quantile,0.1,159.4028279154631
2024-11-20,ILI incidence,2024-12-08,4,BE,quantile,0.1,190.13563160424232
