origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.01,1105.2750090797974
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.025,1284.5005238579001
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.05,1461.7015775004868
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.1,1696.5257894522722
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.15,1875.9064006559688
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.2,2031.8969461529102
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.25,2176.0153639616024
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.3,2314.124967254948
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.35,2449.9133803721766
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.4,2586.120376760319
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.45,2725.10262092493
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.5,2869.1689299090117
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.55,3020.8487092096493
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.6,3183.1849185737483
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.65,3360.1427283342437
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.7,3557.282944865267
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.75,3783.0200039857627
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.8,4051.2810080484023
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.85,4388.067927594022
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.9,4851.868650009195
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.95,5630.955152664961
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.975,6407.297416707745
2024-11-13,ILI incidence,2024-11-10,1,AT,quantile,0.99,7445.493519787016
2024-11-13,ILI incidence,2024-11-10,1,AT,median,,2869.1689299090117
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.01,1064.564399028587
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.025,1246.031465185158
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.05,1426.6350766201772
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.1,1667.5546485892366
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.15,1852.6723584572646
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.2,2014.3382846037712
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.25,2164.2247136015108
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.3,2308.3042061240794
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.35,2450.3599802075555
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.4,2593.2288119127293
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.45,2739.3763521165024
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.5,2891.2429643268824
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.55,3051.5257445889415
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.6,3223.4917357658906
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.65,3411.4198127727022
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.7,3621.333230292872
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.75,3862.3723844692236
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.8,4149.7023553333565
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.85,4511.701139731222
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.9,5012.362536115331
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.95,5858.389070561394
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.975,6706.985803274265
2024-11-13,ILI incidence,2024-11-17,2,AT,quantile,0.99,7849.364907390204
2024-11-13,ILI incidence,2024-11-17,2,AT,median,,2891.2429643268824
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.01,1026.9603806347486
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.025,1210.3106416120952
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.05,1393.9528841541448
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.1,1640.4933685056171
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.15,1831.003582809722
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.2,1998.0634670311856
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.25,2153.475868765951
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.3,2303.3113311878637
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.35,2451.4426683584034
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.4,2600.800438223799
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.45,2753.9578410727504
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.5,2913.4867667993108
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.55,3082.2533940122826
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.6,3263.7519729250116
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.65,3462.5807081003486
2024-11-13,ILI incidence,2024-11-24,3,AT,quantile,0.7,3685.235014723273
