origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-11-27,ILI incidence,2024-11-24,1,BE,median,NA,118.59
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.01,6.72
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.025,23.99
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.05,37.42
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.1,58.16
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.15,70.01
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.2,79.51
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.25,86.46
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.3,93.75
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.35,100.05
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.4,105.68
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.45,112.91
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.5,118.59
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.55,125.37
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.6,129.76
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.65,136.37
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.7,141.94
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.75,151.66
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.8,158.35
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.85,167.93
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.9,177.78
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.95,194.23
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.975,205.93
2024-11-27,ILI incidence,2024-11-24,1,BE,quantile,0.99,233.37
2024-11-27,ILI incidence,2024-12-01,2,BE,median,NA,117.32
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.01,0.01
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.025,11.16
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.05,30.46
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.1,47.64
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.15,59.41
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.2,68.92
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.25,75.33
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.3,88.48
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.35,96.86
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.4,105.04
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.45,111.97
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.5,117.32
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.55,126.75
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.6,137.97
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.65,149.04
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.7,159.35
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.75,170.54
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.8,182.48
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.85,190.68
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.9,216.41
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.95,247.5
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.975,273.49
2024-11-27,ILI incidence,2024-12-01,2,BE,quantile,0.99,303.75
2024-11-27,ILI incidence,2024-12-08,3,BE,median,NA,117.76
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.01,0.01
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.025,11.03
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.05,21.78
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.1,37.01
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.15,51.08
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.2,58.8
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.25,67.44
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.3,79.31
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.35,86.13
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.4,96.44
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.45,108.02
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.5,117.76
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.55,123.07
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.6,140.66
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.65,150.66
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.7,166.05
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.75,181.2
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.8,201.02
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.85,221.3
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.9,250.6
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.95,288.42
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.975,340.21
2024-11-27,ILI incidence,2024-12-08,3,BE,quantile,0.99,426.75
2024-11-27,ILI incidence,2024-12-15,4,BE,median,NA,118.63
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.01,3.22
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.025,14.4
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.05,25.18
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.1,35.23
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.15,45.53
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.2,53.05
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.25,61.76
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.3,69.73
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.35,77.38
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.4,91.71
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.45,103.43
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.5,118.63
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.55,131.45
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.6,143.95
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.65,156.34
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.7,173.04
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.75,187.37
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.8,211.53
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.85,237.37
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.9,288.61
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.95,342.34
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.975,376.95
2024-11-27,ILI incidence,2024-12-15,4,BE,quantile,0.99,412.71
2024-11-27,ILI incidence,2024-11-24,1,CZ,median,NA,20.21
2024-11-27,ILI incidence,2024-11-24,1,CZ,quantile,0.01,4.12
2024-11-27,ILI incidence,2024-11-24,1,CZ,quantile,0.025,7.73
2024-11-27,ILI incidence,2024-11-24,1,CZ,quantile,0.05,9.65
2024-11-27,ILI incidence,2024-11-24,1,CZ,quantile,0.1,11.65
2024-11-27,ILI incidence,2024-11-24,1,CZ,quantile,0.15,12.9
