origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.010,0.0
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.025,984.8000000000002
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.050,1047.9
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.100,1319.3
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.150,1445.1000000000004
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.200,1570.4
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.250,1616.1000000000001
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.300,1640.6
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.350,1826.8000000000002
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.400,1931.5
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.450,1988.1
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.500,2005.5
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.550,2028.0
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.600,2072.4
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.650,2166.7000000000003
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.700,2332.6000000000004
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.750,2401.7
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.800,2447.4
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.850,2572.7
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.900,2698.5
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.950,2980.4
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.975,3033.0
2024-11-20,ILI incidence,1,2024-11-17,AT,quantile,0.990,4594.8
2024-11-20,ILI incidence,1,2024-11-17,AT,median,,2005.5
2024-11-20,ILI incidence,2,2024-11-24,AT,quantile,0.010,0.0
2024-11-20,ILI incidence,2,2024-11-24,AT,quantile,0.025,0.0
2024-11-20,ILI incidence,2,2024-11-24,AT,quantile,0.050,580.9550000000005
2024-11-20,ILI incidence,2,2024-11-24,AT,quantile,0.100,988.1000000000004
2024-11-20,ILI incidence,2,2024-11-24,AT,quantile,0.150,1166.735
2024-11-20,ILI incidence,2,2024-11-24,AT,quantile,0.200,1380.7999999999997
2024-11-20,ILI incidence,2,2024-11-24,AT,quantile,0.250,1477.8000000000002
2024-11-20,ILI incidence,2,2024-11-24,AT,quantile,0.300,1595.3
2024-11-20,ILI incidence,2,2024-11-24,AT,quantile,0.350,1690.6
2024-11-20,ILI incidence,2,2024-11-24,AT,quantile,0.400,1818.8000000000002
2024-11-20,ILI incidence,2,2024-11-24,AT,quantile,0.450,1937.4
2024-11-20,ILI incidence,2,2024-11-24,AT,quantile,0.500,2008.9
2024-11-20,ILI incidence,2,2024-11-24,AT,quantile,0.550,2064.4
2024-11-20,ILI incidence,2,2024-11-24,AT,quantile,0.600,2187.5000000000005
2024-11-20,ILI incidence,2,2024-11-24,AT,quantile,0.650,2316.7
2024-11-20,ILI incidence,2,2024-11-24,AT,quantile,0.700,2414.7000000000003
2024-11-20,ILI incidence,2,2024-11-24,AT,quantile,0.750,2521.1000000000004
2024-11-20,ILI incidence,2,2024-11-24,AT,quantile,0.800,2625.8
2024-11-20,ILI incidence,2,2024-11-24,AT,quantile,0.850,2812.0150000000003
2024-11-20,ILI incidence,2,2024-11-24,AT,quantile,0.900,3009.3
