origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.010,1512.6
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.025,2190.1
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.050,2242.7
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.100,2620.5
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.150,2666.2
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.200,2779.3999999999996
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.250,2831.1
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.300,3027.2
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.350,3097.7
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.400,3150.7
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.450,3195.1
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.500,3210.7999999999997
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.550,3233.2999999999997
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.600,3246.8999999999996
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.650,3330.7
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.700,3396.2999999999997
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.750,3597.2999999999997
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.800,3622.7
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.850,3762.2
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.900,3807.8999999999996
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.950,4185.7
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.975,4238.299999999999
2024-10-23,ILI incidence,1,2024-10-20,AT,quantile,0.990,4915.799999999999
2024-10-23,ILI incidence,1,2024-10-20,AT,median,,3210.7999999999997
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.010,1104.1
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.025,1520.6
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.050,1814.6999999999998
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.100,2221.8999999999996
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.150,2397.2
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.200,2612.5
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.250,2701.9999999999995
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.300,2809.1
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.350,2933.0999999999995
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.400,3052.9
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.450,3161.2
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.500,3214.2
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.550,3269.7
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.600,3373.0999999999995
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.650,3480.7999999999997
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.700,3610.3999999999996
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.750,3712.5
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.800,3803.8999999999996
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.850,4015.5
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.900,4216.51
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.950,4610.0
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.975,4895.0
2024-10-23,ILI incidence,2,2024-10-27,AT,quantile,0.990,5262.4
2024-10-23,ILI incidence,2,2024-10-27,AT,median,,3214.2
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.010,694.6759999999998
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.025,1148.8449999999998
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.050,1515.2500000000002
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.100,1914.56
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.150,2200.54
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.200,2402.2799999999997
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.250,2583.5249999999996
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.300,2714.1599999999994
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.350,2831.165
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.400,2983.16
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.450,3104.4
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.500,3210.7999999999997
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.550,3305.5
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.600,3426.6
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.650,3571.7999999999997
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.700,3691.96
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.750,3820.525
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.800,4001.2400000000002
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.850,4209.16
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.900,4473.4400000000005
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.950,4873.819999999999
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.975,5247.959999999999
2024-10-23,ILI incidence,3,2024-11-03,AT,quantile,0.990,5645.9760000000015
2024-10-23,ILI incidence,3,2024-11-03,AT,median,,3210.7999999999997
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.010,353.3269999999997
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.025,860.6599999999999
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.050,1250.8300000000002
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.100,1683.5200000000004
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.150,2016.6849999999997
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.200,2232.2
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.250,2439.3749999999995
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.300,2623.2
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.350,2781.1249999999995
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.400,2927.2000000000003
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.450,3075.61
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.500,3210.5
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.550,3338.2349999999997
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.600,3478.7599999999998
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.650,3623.5
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.700,3776.3999999999996
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.750,3949.8
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.800,4167.52
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.850,4380.075
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.900,4692.53
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.950,5137.039999999999
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.975,5481.7474999999995
2024-10-23,ILI incidence,4,2024-11-10,AT,quantile,0.990,5943.709
2024-10-23,ILI incidence,4,2024-11-10,AT,median,,3210.5
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.010,0.0
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.025,0.0
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.050,107.39999999999998
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.100,168.2
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.150,190.7
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.200,198.9
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.250,208.9
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.300,213.3
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.350,220.3
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.400,226.6
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.450,232.8
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.500,242.79999999999998
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.550,248.2
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.600,254.71999999999971
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.650,260.7
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.700,267.7
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.750,272.1
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.800,282.1
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.850,290.3
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.900,307.0
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.950,369.59999999999997
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.975,582.0999999999999
2024-10-23,ILI incidence,1,2024-10-20,BE,quantile,0.990,632.2
2024-10-23,ILI incidence,1,2024-10-20,BE,median,,242.79999999999998
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.010,0.0
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.025,0.0
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.050,0.0
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.100,102.69999999999999
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.150,146.3
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.200,168.70000000000002
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.250,184.47500000000002
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.300,198.89999999999998
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.350,210.96499999999992
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.400,222.0
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.450,231.3
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.500,240.5
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.550,250.8
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.600,260.8
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.650,272.0
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.700,283.1
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.750,296.8
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.800,312.04000000000013
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.850,334.215
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.900,372.12000000000006
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.950,536.0249999999996
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.975,608.4199999999998
2024-10-23,ILI incidence,2,2024-10-27,BE,quantile,0.990,652.6
