origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-10-30,ARI incidence,2024-10-27,1,BE,median,,1214.4
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.01,222.1195778
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.025,378.396962
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.05,512.804134
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.1,667.7669952
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.15,772.319702
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.2,855.414879
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.25,926.703142
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.3,990.7222053
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.35,1050.045408
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.4,1106.337327
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.45,1160.800409
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.5,1214.4
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.55,1267.999591
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.6,1322.462673
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.65,1378.754592
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.7,1438.077795
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.75,1502.096858
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.8,1573.385121
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.85,1656.480298
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.9,1761.033005
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.95,1915.995866
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.975,2050.403038
2024-10-30,ARI incidence,2024-10-27,1,BE,quantile,0.99,2206.680422
2024-10-30,ARI incidence,2024-11-03,2,BE,median,,1236
2024-10-30,ARI incidence,2024-11-03,2,BE,quantile,0.01,0
2024-10-30,ARI incidence,2024-11-03,2,BE,quantile,0.025,121.3488824
2024-10-30,ARI incidence,2024-11-03,2,BE,quantile,0.05,300.5552938
2024-10-30,ARI incidence,2024-11-03,2,BE,quantile,0.1,507.1688092
