target,location,truth_date,year_week,value
ARI incidence,BE,2024-10-20,2024-W42,1052.7
ARI incidence,BE,2024-10-13,2024-W41,1312.6
ARI incidence,BE,2024-10-06,2024-W40,1172.4
ARI incidence,BE,2024-09-29,2024-W39,1216.6
ARI incidence,BE,2024-09-22,2024-W38,993.0
ARI incidence,BE,2024-09-15,2024-W37,927.0
ARI incidence,BE,2024-09-08,2024-W36,713.6
ARI incidence,BE,2024-09-01,2024-W35,417.6
ARI incidence,BE,2024-08-25,2024-W34,394.7
ARI incidence,BE,2024-08-18,2024-W33,307.9
ARI incidence,BE,2024-08-11,2024-W32,419.6
ARI incidence,BE,2024-08-04,2024-W31,343.6
ARI incidence,BE,2024-07-28,2024-W30,367.6
ARI incidence,BE,2024-07-21,2024-W29,555.0
ARI incidence,BE,2024-07-14,2024-W28,620.5
ARI incidence,BE,2024-07-07,2024-W27,641.3
ARI incidence,BE,2024-06-30,2024-W26,822.2
ARI incidence,BE,2024-06-23,2024-W25,892.4
ARI incidence,BE,2024-06-16,2024-W24,806.5
ARI incidence,BE,2024-06-09,2024-W23,841.9
ARI incidence,BE,2024-06-02,2024-W22,765.1
ARI incidence,BE,2024-05-26,2024-W21,873.5
ARI incidence,BE,2024-05-19,2024-W20,791.5
ARI incidence,BE,2024-05-12,2024-W19,759.5
ARI incidence,BE,2024-05-05,2024-W18,892.2
ARI incidence,BE,2024-04-28,2024-W17,945.4
ARI incidence,BE,2024-04-21,2024-W16,844.4
ARI incidence,BE,2024-04-14,2024-W15,888.3
ARI incidence,BE,2024-04-07,2024-W14,942.6
ARI incidence,BE,2024-03-31,2024-W13,1169.2
ARI incidence,BE,2024-03-24,2024-W12,1064.9
ARI incidence,BE,2024-03-17,2024-W11,1015.0
ARI incidence,BE,2024-03-10,2024-W10,1178.4
ARI incidence,BE,2024-03-03,2024-W09,1160.4
ARI incidence,BE,2024-02-25,2024-W08,1502.8
ARI incidence,BE,2024-02-18,2024-W07,1288.3
ARI incidence,BE,2024-02-11,2024-W06,1575.0
ARI incidence,BE,2024-02-04,2024-W05,2021.0
ARI incidence,BE,2024-01-28,2024-W04,1789.7
ARI incidence,BE,2024-01-21,2024-W03,1462.0
ARI incidence,BE,2024-01-14,2024-W02,1298.4
ARI incidence,BE,2024-01-07,2024-W01,1185.9
ARI incidence,BE,2023-12-31,2023-W52,1505.9
ARI incidence,BE,2023-12-24,2023-W51,1765.8
ARI incidence,BE,2023-12-17,2023-W50,1668.5
ARI incidence,BE,2023-12-10,2023-W49,1715.7
ARI incidence,BE,2023-12-03,2023-W48,1534.4
ARI incidence,BE,2023-11-26,2023-W47,1313.0
ARI incidence,BE,2023-11-19,2023-W46,1222.1
ARI incidence,BE,2023-11-12,2023-W45,1532.3
ARI incidence,BE,2023-11-05,2023-W44,990.6
ARI incidence,BE,2023-10-29,2023-W43,1118.2
ARI incidence,BE,2023-10-22,2023-W42,1291.1
ARI incidence,BE,2023-10-15,2023-W41,1182.7
