target,location,truth_date,year_week,value
ARI incidence,GB-ENG,2023-10-08,2023-W40,305.7211213772348
ARI incidence,GB-ENG,2023-10-15,2023-W41,305.06528994635335
ARI incidence,GB-ENG,2023-10-22,2023-W42,329.6817124437322
ARI incidence,GB-ENG,2023-10-29,2023-W43,326.0702613029225
ARI incidence,GB-ENG,2023-11-05,2023-W44,343.6493184919642
ARI incidence,GB-ENG,2023-11-12,2023-W45,361.8039325656655
ARI incidence,GB-ENG,2023-11-19,2023-W46,369.8249810419511
ARI incidence,GB-ENG,2023-11-26,2023-W47,348.3286531163553
ARI incidence,GB-ENG,2023-12-03,2023-W48,353.18376053316297
ARI incidence,GB-ENG,2023-12-10,2023-W49,377.3098132800155
ARI incidence,GB-ENG,2023-12-17,2023-W50,398.58831419927606
ARI incidence,GB-ENG,2023-12-24,2023-W51,419.0477887354354
ARI incidence,GB-ENG,2023-12-31,2023-W52,276.73267273669865
ARI incidence,GB-ENG,2024-01-07,2024-W01,350.0984826017392
ARI incidence,GB-ENG,2024-01-14,2024-W02,354.6930336177619
ARI incidence,GB-ENG,2024-01-21,2024-W03,336.9544171477567
ARI incidence,GB-ENG,2024-01-28,2024-W04,375.4502875489796
ARI incidence,GB-ENG,2024-02-04,2024-W05,373.9777706521029
ARI incidence,GB-ENG,2024-02-11,2024-W06,366.3346375049613
ARI incidence,GB-ENG,2024-02-18,2024-W07,332.4955133595391
ARI incidence,GB-ENG,2024-02-25,2024-W08,319.68336734139035
ARI incidence,GB-ENG,2024-03-03,2024-W09,333.7905139382357
ARI incidence,GB-ENG,2024-03-10,2024-W10,332.3231112557003
ARI incidence,GB-ENG,2024-03-17,2024-W11,345.2769419353829
ARI incidence,GB-ENG,2024-03-24,2024-W12,346.7795944726546
ARI incidence,GB-ENG,2024-03-31,2024-W13,271.1905077482623
ARI incidence,GB-ENG,2024-04-07,2024-W14,270.06609966038917
ARI incidence,GB-ENG,2024-04-14,2024-W15,279.05528534158395
ARI incidence,GB-ENG,2024-04-21,2024-W16,265.44865544084024
ARI incidence,GB-ENG,2024-04-28,2024-W17,265.07134499705404
ARI incidence,GB-ENG,2024-05-05,2024-W18,268.71490335485447
ARI incidence,GB-ENG,2024-05-12,2024-W19,239.06910435175163
ARI incidence,GB-ENG,2024-05-19,2024-W20,256.30195342005476
ARI incidence,GB-ENG,2024-10-06,2024-W40,245.1880387452078
ARI incidence,GB-ENG,2024-10-13,2024-W41,256.1684965949618
ARI incidence,GB-ENG,2024-10-20,2024-W42,269.63339329464276
ARI incidence,GB-WLS,2023-07-30,2023-W30,131.34431384579986
